LOCATIONS,Temp,D.O. (mg/l),PH,CONDUCTIVITY (�mhos/cm),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,B.O.D. (mg/l)
"CHANDRAGIRI AT PADIYATHADKA, KERALA",29.8,7.5,7.2,67,0.1,76,590,1.1
"CHITRAPUZHA AT IRUMPANAM, KERALA",28.6,3,6.6,965,1.2,247,530,1.7
R CORAPUZHA AT KANAYANKODE,26.9,5.9,7.4,17990,0.5,1888,2803,0.7
"R ITHIKKARA AT AYUR, KERALA",26,6.7,7.5,90,0.9,199,473,1.6
R ITHIKKARA AT ITHIKKARA,23.6,6.1,7.4,4429,1.6,243,550,2
"R KADALUNDI AT THIRURANGADY, KERALA",30.3,6.7,6.9,87,0.2,155,350,1.7
R KADALUNDI AT HAJIRAPPALLY,30.7,6.9,6.8,85,0.2,82,206,1.6
R KADAMBAYAR AT BRAHMAPURAM,28.7,2.1,6.8,101,0.8,431,694,1.6
R KADAMBAYAR AT MANCKAKADAVU,28.2,2.5,6.9,83,0.3,353,656,1.9
"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",24.8,7.2,7.6,75,1,188,426,1.4
R KALLAI AT KALLAI BRIDGE,26.3,3.7,7.7,32005,0.9,40000,60392,1.2
"KALPATHI PUZHA AT KALPATHI, PALAKKAD",29.2,6.1,7.6,281,0.7,384,718,1.2
KARAPUZHA DAM AT WAYANAD,26.6,6.7,7.6,106,2.5,44,71,0.5
"R KARINGODE AT KAKKADAVU,  KERALA",30.4,7.6,7.1,58,0.1,163,961,1.2
"KARAMANA AT MOONNATTUMUKKU, KERALA",25.5,1.9,7.7,2941,2.8,10875,37375,26.9
"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",25.1,7.4,7,35,0,165,409,0.1
R KARUVANNURR AT KARUVANNUR BRIDGE,28.9,6.4,7.2,63,0.4,121,535,1.3
R KAVVAI AT KUTTIYOL PALAM,28.8,5.4,6.7,65,0.3,60,144,1.1
R KEECHERI AT VADAKKANCHERY BRIDGE,29.3,5.6,7.3,90,0.4,268,705,1.6
R KORAYAR AT KANJIKODE,29.5,7.1,8,728,0.4,374,697,1.2
"R KUPPAM AT THALIPARAMBA, KERALA",28.4,5.9,6.8,13953,0.4,70,166,1.5
R KUPPAM AT RAYAROM,26.9,7.4,6.9,57,0.3,70,159,1.1
"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",25.8,7.2,7.2,41,0.2,441,658,0.7
"R MAHE AT VALAYAM, KERALA",26.6,6.5,7.4,71,0.3,4192,7018,0.6
R MAMOM AT MAMOM BRIDGE,25.3,6.8,7.1,81,0,389,1268,0.8
"MANIMALA  AT KALLOOPARA, KERALA",28.2,6.8,6.9,68,0.1,449,660,1.7
"MANIMALA AT THONDRA, KERALA",28.5,6.6,7,70,0.1,550,822,1.4
"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",27.6,6.4,7.7,100,0.9,56,88,0.6
